strategy_name,timestamp,gpu_index,util_compute_pct,util_memory_pct,mem_used_mib,mem_total_mib,power_w,temperature_c
baseline_full_fp16_tp1,1782762271.591988,1,0.0,0.0,28582.375,32768.0,56.515,26.0
baseline_full_fp16_tp1,1782762272.5948875,1,95.0,63.0,28598.375,32768.0,158.495,29.0
baseline_full_fp16_tp1,1782762273.5965674,1,93.0,78.0,28598.375,32768.0,169.106,29.0
baseline_full_fp16_tp1,1782762274.5993588,1,94.0,79.0,28598.375,32768.0,166.866,29.0
baseline_full_fp16_tp1,1782762275.6028347,1,98.0,29.0,29388.375,32768.0,227.485,32.0
baseline_full_fp16_tp1,1782762276.604843,1,91.0,75.0,29388.375,32768.0,184.514,30.0
baseline_full_fp16_tp1,1782762277.6071608,1,88.0,74.0,29388.375,32768.0,178.521,30.0
baseline_full_fp16_tp1,1782762278.6094038,1,91.0,76.0,29388.375,32768.0,173.932,30.0
baseline_full_fp16_tp1,1782762279.6112025,1,94.0,52.0,29388.375,32768.0,281.757,32.0
baseline_full_fp16_tp1,1782762280.6135983,1,90.0,75.0,29388.375,32768.0,185.926,30.0
baseline_full_fp16_tp1,1782762281.615518,1,92.0,72.0,29388.375,32768.0,246.46,31.0
baseline_full_fp16_tp1,1782762282.6182082,1,91.0,76.0,29388.375,32768.0,294.323,31.0
baseline_full_fp16_tp1,1782762283.620515,1,91.0,76.0,29388.375,32768.0,151.793,30.0
baseline_full_fp16_tp1,1782762284.622772,1,93.0,60.0,29388.375,32768.0,169.221,31.0
baseline_full_fp16_tp1,1782762285.625199,1,89.0,74.0,29388.375,32768.0,170.634,29.0
baseline_full_fp16_tp1,1782762286.6270986,1,92.0,77.0,29388.375,32768.0,162.295,29.0
baseline_full_fp16_tp1,1782762287.6293373,1,97.0,47.0,29388.375,32768.0,182.41,30.0
baseline_full_fp16_tp1,1782762288.631693,1,92.0,77.0,29388.375,32768.0,187.337,30.0
baseline_full_fp16_tp1,1782762289.6340168,1,92.0,76.0,29388.375,32768.0,167.337,29.0
baseline_full_fp16_tp1,1782762290.6361136,1,93.0,78.0,29388.375,32768.0,177.349,29.0
baseline_full_fp16_tp1,1782762291.6384053,1,98.0,29.0,29544.375,32768.0,280.353,33.0
baseline_full_fp16_tp1,1782762292.64003,1,92.0,57.0,29544.375,32768.0,204.602,31.0
baseline_full_fp16_tp1,1782762293.6425276,1,88.0,72.0,29544.375,32768.0,202.114,31.0
baseline_full_fp16_tp1,1782762294.6443992,1,90.0,72.0,29544.375,32768.0,291.113,31.0
baseline_full_fp16_tp1,1782762295.6475182,1,88.0,74.0,29544.375,32768.0,166.508,30.0
baseline_full_fp16_tp1,1782762296.6495507,1,89.0,72.0,29544.375,32768.0,180.751,32.0
baseline_full_fp16_tp1,1782762297.651845,1,92.0,78.0,29544.375,32768.0,188.748,31.0
baseline_full_fp16_tp1,1782762298.6539357,1,92.0,77.0,29544.375,32768.0,183.352,30.0
baseline_full_fp16_tp1,1782762299.6559782,1,91.0,76.0,29544.375,32768.0,184.765,30.0
baseline_full_fp16_tp1,1782762300.6574473,1,90.0,75.0,29544.375,32768.0,172.989,30.0
baseline_full_fp16_tp1,1782762301.6594362,1,92.0,65.0,29544.375,32768.0,186.052,30.0
baseline_full_fp16_tp1,1782762302.6613505,1,90.0,77.0,29544.375,32768.0,164.982,31.0
baseline_full_fp16_tp1,1782762303.6645525,1,91.0,67.0,29544.375,32768.0,285.304,31.0
baseline_full_fp16_tp1,1782762304.6668534,1,91.0,74.0,29544.375,32768.0,238.879,30.0
baseline_full_fp16_tp1,1782762305.6690636,1,91.0,71.0,29544.375,32768.0,288.035,31.0
baseline_full_fp16_tp1,1782762306.6709414,1,91.0,76.0,29544.375,32768.0,190.418,29.0
baseline_full_fp16_tp1,1782762307.6726544,1,94.0,63.0,29544.375,32768.0,176.878,30.0
baseline_full_fp16_tp1,1782762308.6742988,1,97.0,31.0,29544.375,32768.0,189.689,32.0
baseline_full_fp16_tp1,1782762309.6784208,1,93.0,51.0,29544.375,32768.0,286.903,32.0
baseline_full_fp16_tp1,1782762310.684013,1,91.0,76.0,29544.375,32768.0,183.228,30.0
baseline_full_fp16_tp1,1782762311.6864283,1,91.0,76.0,29544.375,32768.0,162.266,30.0
baseline_full_fp16_tp1,1782762312.6880746,1,93.0,78.0,29544.375,32768.0,159.546,29.0
baseline_full_fp16_tp1,1782762313.689809,1,96.0,57.0,29544.375,32768.0,175.226,31.0
baseline_full_fp16_tp1,1782762314.6990883,1,92.0,77.0,29544.375,32768.0,175.226,30.0
baseline_full_fp16_tp1,1782762315.70066,1,94.0,60.0,29544.375,32768.0,168.75,31.0
baseline_full_fp16_tp1,1782762316.7137432,1,92.0,77.0,29544.375,32768.0,185.581,30.0
baseline_full_fp16_tp1,1782762317.7160997,1,91.0,76.0,29544.375,32768.0,177.108,30.0
baseline_full_fp16_tp1,1782762318.7177176,1,91.0,76.0,29544.375,32768.0,179.706,30.0
baseline_full_fp16_tp1,1782762319.719658,1,92.0,77.0,29544.375,32768.0,178.05,30.0
baseline_full_fp16_tp1,1782762320.7218325,1,93.0,78.0,29544.375,32768.0,158.387,29.0
baseline_full_fp16_tp1,1782762321.7243526,1,93.0,78.0,29544.375,32768.0,156.867,30.0
baseline_full_fp16_tp1,1782762322.7264252,1,93.0,78.0,29544.375,32768.0,153.414,30.0
baseline_full_fp16_tp1,1782762323.7320647,1,97.0,30.0,29544.375,32768.0,270.245,32.0
baseline_full_fp16_tp1,1782762324.7369037,1,90.0,75.0,29544.375,32768.0,179.584,31.0
baseline_full_fp16_tp1,1782762325.738953,1,93.0,67.0,29544.375,32768.0,191.57,31.0
baseline_full_fp16_tp1,1782762326.7412822,1,92.0,68.0,29544.375,32768.0,239.815,31.0
baseline_full_fp16_tp1,1782762327.7432144,1,92.0,76.0,29544.375,32768.0,176.638,31.0
baseline_full_fp16_tp1,1782762328.7459848,1,93.0,70.0,29544.375,32768.0,176.758,31.0
baseline_full_fp16_tp1,1782762329.7540276,1,94.0,60.0,29544.375,32768.0,277.457,32.0
baseline_full_fp16_tp1,1782762330.7632124,1,94.0,63.0,29544.375,32768.0,289.044,32.0
baseline_full_fp16_tp1,1782762331.7711966,1,92.0,77.0,29544.375,32768.0,183.103,31.0
baseline_full_fp16_tp1,1782762332.7733722,1,94.0,68.0,29544.375,32768.0,187.464,31.0
baseline_full_fp16_tp1,1782762333.7766201,1,92.0,77.0,29544.375,32768.0,184.859,30.0
baseline_full_fp16_tp1,1782762334.7790182,1,94.0,58.0,29544.375,32768.0,188.278,31.0
baseline_full_fp16_tp1,1782762335.7887828,1,96.0,56.0,29544.375,32768.0,182.633,31.0
baseline_full_fp16_tp1,1782762336.7977722,1,98.0,29.0,29544.375,32768.0,283.16,33.0
baseline_full_fp16_tp1,1782762337.8001046,1,93.0,77.0,29544.375,32768.0,256.082,32.0
baseline_full_fp16_tp1,1782762338.8017545,1,91.0,76.0,29544.375,32768.0,184.985,31.0
baseline_full_fp16_tp1,1782762339.8035884,1,93.0,66.0,29544.375,32768.0,174.284,32.0
baseline_full_fp16_tp1,1782762340.8052156,1,92.0,77.0,29544.375,32768.0,179.34,31.0
baseline_full_fp16_tp1,1782762341.8075836,1,92.0,66.0,29544.375,32768.0,182.757,31.0
baseline_full_fp16_tp1,1782762342.809863,1,91.0,76.0,29544.375,32768.0,186.052,31.0
baseline_full_fp16_tp1,1782762343.813361,1,91.0,76.0,29544.375,32768.0,182.286,31.0
baseline_full_fp16_tp1,1782762344.8169608,1,92.0,64.0,29544.375,32768.0,250.285,31.0
baseline_full_fp16_tp1,1782762345.8192427,1,91.0,76.0,29544.375,32768.0,183.228,30.0
baseline_full_fp16_tp1,1782762346.8212647,1,90.0,75.0,29544.375,32768.0,183.477,30.0
baseline_full_fp16_tp1,1782762347.8229625,1,92.0,75.0,29544.375,32768.0,169.577,30.0
baseline_full_fp16_tp1,1782762348.8247194,1,95.0,50.0,29544.375,32768.0,224.04,32.0
