request_id,strategy_name,workload_name,task_type,prompt_token_len,target_output_tokens,arrival_time,send_time,ttft_s,e2e_s,output_tokens,tokens_per_second,status,error,kv_cache_usage_pct,num_waiting_seqs,num_running_seqs,num_preemptions,num_preemptions_delta,spec_draft_acceptance_rate,spec_decode_efficiency,ttfb_s,itl_mean_ms,itl_p50_ms,itl_p95_ms,itl_max_ms,completion_ratio,rate_label,effective_rps
chat_0000,baseline_full_fp16_tp1,chat,chat,128,64,0.5100301436374005,1782762272.1029525,0.12758126703556627,2.19115187501302,64,31.014204094875954,ok,,0.0,0,0,0,0,0.0,0.0,0.1274771150201559,32.72828790414635,28.66839402122423,59.22633997397497,79.02340096188709,1.0,low,2.0
chat_0003,baseline_full_fp16_tp1,chat,chat,256,64,0.8097996880313094,1782762272.4019723,0.1123210689984262,2.034922744962387,64,33.28822646943313,ok,,0.0,0,0,0,0,0.0,0.0,0.1122745189932175,30.494358238121052,28.639884025324136,57.15471599251032,77.46009301627055,1.0,low,2.0
chat_0001,baseline_full_fp16_tp1,chat,chat,128,128,0.5226945631587699,1782762272.1165788,0.14173085102811456,5.319987923023291,128,24.718741889475517,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.14169936103280634,40.74511770846498,28.798985993489623,77.63292494928464,473.2477450161241,1.0,low,2.0
chat_0006,baseline_full_fp16_tp1,chat,chat,512,64,3.1548265786103373,1782762274.7474926,0.2350018989527598,3.2366845560027286,64,21.321374479638937,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.2349450479960069,47.59037533372138,32.174455001950264,77.51301402458921,473.3835170045495,1.0,low,2.0
chat_0009,baseline_full_fp16_tp1,chat,chat,1024,64,3.489450949215545,1782762275.0825043,0.48399217100813985,3.236422593006864,64,23.25217723524699,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.4839714199770242,43.62981504712638,32.23740495741367,101.49322304641828,235.15732103260234,1.0,low,2.0
chat_0012,baseline_full_fp16_tp1,chat,chat,128,64,3.9782142629686876,1782762275.5705895,0.2895254049799405,2.7800439139828086,64,25.6974600946145,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.28950550500303507,39.477155698160274,32.19126496696845,65.22113003302366,167.2664500074461,1.0,low,2.0
chat_0004,baseline_full_fp16_tp1,chat,chat,256,128,1.4765960244353509,1782762273.0700638,0.10179683601018041,5.409119814983569,128,24.117620221552716,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.10176785598741844,41.75634652753837,31.487897038459778,101.59330401802436,473.2352960272692,1.0,low,2.0
chat_0015,baseline_full_fp16_tp1,chat,chat,256,64,5.007470725283015,1782762276.6004832,0.10062456299783662,2.545710053993389,64,26.17495389657785,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.10059513302985579,38.758568143257726,32.16178499860689,65.21954998606816,167.30493999784812,1.0,low,2.0
chat_0007,baseline_full_fp16_tp1,chat,chat,512,128,3.20030278091362,1782762274.793307,0.21791514003416523,6.132862397003919,128,21.640091523922532,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.21788681903854012,46.54526829904708,32.21378498710692,120.5763949546963,473.2202549930662,1.0,low,2.0
chat_0018,baseline_full_fp16_tp1,chat,chat,512,64,6.405757335028856,1782762277.9988036,0.21802587201818824,2.959466560045257,64,23.345389261753038,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.21799678105162457,43.460235507818794,32.41881699068472,68.16240400075912,454.6837710076943,1.0,low,2.0
chat_0010,baseline_full_fp16_tp1,chat,chat,1024,128,3.612809297195457,1782762275.205046,0.36230799299664795,5.850098371971399,128,23.324506069037103,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.362291291996371,43.18001955118778,32.207845943048596,101.54576401691884,454.5940489624627,1.0,low,2.0
chat_0013,baseline_full_fp16_tp1,chat,chat,128,128,4.089060097550528,1782762275.68149,0.20907354698283598,5.405732742976397,128,24.631209238944017,ok,,0.06340358822504788,0,0,0,0,0.0,0.0,0.20904576597968116,40.89470260628081,32.245666021481156,65.08587801363319,454.65455000521615,1.0,low,2.0
chat_0016,baseline_full_fp16_tp1,chat,chat,256,128,5.131983934766426,1782762276.7243679,0.09935613797279075,5.364152722002473,128,24.31243030134863,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.09932793799089268,41.4259716539321,32.294297008775175,76.56307198340073,454.59304901305586,1.0,low,2.0
chat_0021,baseline_full_fp16_tp1,chat,chat,1024,64,7.827395220838007,1782762279.4199746,0.30494276399258524,2.9278362420154735,64,24.400533432353715,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.30490766395814717,41.57809822243594,32.7332720044069,67.6556290127337,372.70106497453526,1.0,low,2.0
chat_0002,baseline_full_fp16_tp1,chat,chat,128,256,0.6835065951962527,1782762272.277569,0.09234202600782737,10.517196190019604,256,24.556698441283903,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.09231329598696902,40.86178131378713,31.942312023602426,79.08554200548679,473.21863495744765,1.0,low,2.0
chat_0019,baseline_full_fp16_tp1,chat,chat,512,128,6.409017319305989,1782762278.001983,0.24572349397931248,5.366990718001034,128,24.993813913791797,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.24569501396035776,40.29687325191486,32.300296996254474,69.78599401190877,454.5705890050158,1.0,low,2.0
chat_0024,baseline_full_fp16_tp1,chat,chat,128,64,9.695597222350084,1782762281.2885053,0.10455546900629997,2.433540911995806,64,27.479776738256056,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.10452580801211298,36.91527799939707,32.23452600650489,69.72700299229473,180.53125502774492,1.0,low,2.0
chat_0027,baseline_full_fp16_tp1,chat,chat,256,64,10.000307355458421,1782762281.5929337,0.13108948798617348,2.359712411998771,64,28.717285149687452,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.13105924800038338,35.325547111117174,32.23779599647969,64.24390902975574,119.09158900380135,1.0,low,2.0
chat_0005,baseline_full_fp16_tp1,chat,chat,256,256,2.0411825288346472,1782762273.6336067,0.11229306895984337,10.670791569980793,256,24.24587169996247,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.11226521898061037,41.38953103136052,32.073864014819264,81.66134200291708,473.2778259785846,1.0,low,2.0
chat_0022,baseline_full_fp16_tp1,chat,chat,1024,128,8.035342764087297,1782762279.6279154,0.39903264096938074,5.093048258975614,128,27.268763126605776,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.3989935609861277,36.947084621958965,32.36261697020382,69.77618398377672,180.5587249691598,1.0,low,2.0
chat_0008,baseline_full_fp16_tp1,chat,chat,512,256,3.4743258606118657,1782762275.066917,0.4994096109876409,10.746709592989646,256,24.98219047452786,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.49937946000136435,40.17371014513842,32.111584034282714,77.61724496958777,454.7623010003008,1.0,low,2.0
chat_0011,baseline_full_fp16_tp1,chat,chat,1024,256,3.964767061128534,1782762275.5576458,0.3023322240333073,10.287370270991232,256,25.63835999383035,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.30230334401130676,39.14596954492998,32.108204963151366,69.77425399236381,454.57321900175884,1.0,low,2.0
chat_0030,baseline_full_fp16_tp1,chat,chat,512,64,12.226273929455626,1782762283.8185754,0.15974129200913012,2.371627833985258,64,28.934576338089013,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.1597121320082806,35.065406650703935,31.837771006394178,62.86850303877145,116.00101296789944,1.0,low,2.0
chat_0014,baseline_full_fp16_tp1,chat,chat,128,256,4.613806098161814,1782762276.2064316,0.11658407899085432,10.014685864036437,256,25.863544905829745,ok,,0.08448005573941819,0,0,0,0,0.0,0.0,0.11655588902067393,38.80623429808218,32.08257397636771,67.66683899331838,454.68990999506786,1.0,low,2.0
