strategy_name,timestamp,gpu_index,util_compute_pct,util_memory_pct,mem_used_mib,mem_total_mib,power_w,temperature_c
baseline_full_fp16_tp1,1782479567.191877,1,0.0,0.0,274.375,32768.0,21.963,24.0
baseline_full_fp16_tp1,1782479568.1946034,1,0.0,0.0,274.375,32768.0,22.423,24.0
baseline_full_fp16_tp1,1782479569.196515,1,0.0,0.0,274.375,32768.0,21.948,24.0
baseline_full_fp16_tp1,1782479570.1985736,1,0.0,0.0,274.375,32768.0,21.963,24.0
baseline_full_fp16_tp1,1782479571.2003314,1,0.0,0.0,274.375,32768.0,21.919,24.0
baseline_full_fp16_tp1,1782479572.2044995,1,0.0,0.0,274.375,32768.0,21.948,24.0
baseline_full_fp16_tp1,1782479573.206685,1,0.0,0.0,274.375,32768.0,21.963,24.0
baseline_full_fp16_tp1,1782479574.2090914,1,0.0,0.0,274.375,32768.0,22.408,24.0
baseline_full_fp16_tp1,1782479575.211639,1,0.0,0.0,274.375,32768.0,21.919,24.0
baseline_full_fp16_tp1,1782479576.214762,1,0.0,0.0,274.375,32768.0,22.423,24.0
baseline_full_fp16_tp1,1782479577.2170913,1,0.0,0.0,274.375,32768.0,22.438,25.0
baseline_full_fp16_tp1,1782479578.2199202,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479579.2224998,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479580.2249823,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479581.2332165,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479582.2353997,1,0.0,0.0,274.375,32768.0,22.408,25.0
baseline_full_fp16_tp1,1782479583.2379522,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479584.243584,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479585.2455804,1,0.0,0.0,274.375,32768.0,22.408,25.0
baseline_full_fp16_tp1,1782479586.2476954,1,0.0,0.0,274.375,32768.0,22.423,26.0
baseline_full_fp16_tp1,1782479587.249247,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479588.2507753,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479589.25235,1,0.0,0.0,274.375,32768.0,22.408,25.0
baseline_full_fp16_tp1,1782479590.2540147,1,0.0,0.0,274.375,32768.0,22.423,25.0
baseline_full_fp16_tp1,1782479591.2562516,1,0.0,0.0,274.375,32768.0,22.408,25.0
baseline_full_fp16_tp1,1782479592.2586844,1,0.0,0.0,274.375,32768.0,22.438,25.0
baseline_full_fp16_tp1,1782479593.2603912,1,0.0,0.0,274.375,32768.0,22.438,25.0
baseline_full_fp16_tp1,1782479594.2621498,1,0.0,0.0,274.375,32768.0,22.423,25.0
