strategy_name,timestamp,gpu_index,util_compute_pct,util_memory_pct,mem_used_mib,mem_total_mib,power_w,temperature_c
baseline_full_fp16_tp1,1782503546.618591,1,31.0,27.0,28582.375,32768.0,57.898,29.0
baseline_full_fp16_tp1,1782503547.6216025,1,93.0,68.0,28598.375,32768.0,156.761,32.0
baseline_full_fp16_tp1,1782503548.6234667,1,93.0,78.0,28598.375,32768.0,173.695,32.0
baseline_full_fp16_tp1,1782503549.625566,1,94.0,79.0,28598.375,32768.0,167.694,33.0
baseline_full_fp16_tp1,1782503550.6279733,1,98.0,30.0,29388.375,32768.0,278.482,37.0
baseline_full_fp16_tp1,1782503551.6460664,1,90.0,74.0,29388.375,32768.0,182.286,34.0
baseline_full_fp16_tp1,1782503552.6476705,1,89.0,75.0,29388.375,32768.0,174.987,34.0
baseline_full_fp16_tp1,1782503553.650144,1,91.0,76.0,29388.375,32768.0,182.979,34.0
baseline_full_fp16_tp1,1782503554.6517735,1,97.0,31.0,29388.375,32768.0,199.431,35.0
baseline_full_fp16_tp1,1782503555.6632552,1,91.0,77.0,29388.375,32768.0,180.158,34.0
baseline_full_fp16_tp1,1782503556.665331,1,91.0,55.0,29388.375,32768.0,243.424,34.0
baseline_full_fp16_tp1,1782503557.6670773,1,92.0,66.0,29388.375,32768.0,212.124,35.0
baseline_full_fp16_tp1,1782503558.6688774,1,90.0,75.0,29388.375,32768.0,188.278,34.0
baseline_full_fp16_tp1,1782503559.6716921,1,91.0,75.0,29388.375,32768.0,193.32,34.0
baseline_full_fp16_tp1,1782503560.6739783,1,91.0,76.0,29388.375,32768.0,186.142,33.0
baseline_full_fp16_tp1,1782503561.676144,1,92.0,77.0,29388.375,32768.0,164.421,33.0
baseline_full_fp16_tp1,1782503562.6805,1,99.0,29.0,29388.375,32768.0,164.04,34.0
baseline_full_fp16_tp1,1782503563.6828525,1,92.0,76.0,29388.375,32768.0,170.518,34.0
baseline_full_fp16_tp1,1782503564.6851528,1,91.0,76.0,29388.375,32768.0,167.11,34.0
baseline_full_fp16_tp1,1782503565.691443,1,91.0,76.0,29388.375,32768.0,157.017,34.0
baseline_full_fp16_tp1,1782503566.6936288,1,98.0,29.0,29544.375,32768.0,276.143,37.0
baseline_full_fp16_tp1,1782503567.7024262,1,91.0,54.0,29544.375,32768.0,252.455,36.0
baseline_full_fp16_tp1,1782503568.7047656,1,90.0,73.0,29544.375,32768.0,213.858,36.0
baseline_full_fp16_tp1,1782503569.706889,1,91.0,75.0,29544.375,32768.0,284.174,36.0
baseline_full_fp16_tp1,1782503570.7121916,1,89.0,75.0,29544.375,32768.0,178.521,35.0
baseline_full_fp16_tp1,1782503571.7141244,1,89.0,72.0,29544.375,32768.0,184.514,36.0
baseline_full_fp16_tp1,1782503572.7165442,1,90.0,76.0,29544.375,32768.0,184.985,34.0
baseline_full_fp16_tp1,1782503573.7195475,1,92.0,71.0,29544.375,32768.0,177.929,34.0
baseline_full_fp16_tp1,1782503574.7212489,1,91.0,76.0,29544.375,32768.0,184.389,34.0
baseline_full_fp16_tp1,1782503575.7227666,1,89.0,74.0,29544.375,32768.0,168.635,34.0
baseline_full_fp16_tp1,1782503576.724311,1,91.0,70.0,29544.375,32768.0,183.574,34.0
baseline_full_fp16_tp1,1782503577.7265506,1,91.0,78.0,29544.375,32768.0,190.63,34.0
baseline_full_fp16_tp1,1782503578.7288716,1,92.0,70.0,29544.375,32768.0,280.821,35.0
baseline_full_fp16_tp1,1782503579.7310693,1,91.0,76.0,29544.375,32768.0,259.832,34.0
baseline_full_fp16_tp1,1782503580.733541,1,92.0,77.0,29544.375,32768.0,207.751,35.0
baseline_full_fp16_tp1,1782503581.7355433,1,93.0,77.0,29544.375,32768.0,180.158,33.0
baseline_full_fp16_tp1,1782503582.737202,1,94.0,53.0,29544.375,32768.0,187.592,34.0
baseline_full_fp16_tp1,1782503583.7394173,1,99.0,30.0,29544.375,32768.0,163.569,35.0
baseline_full_fp16_tp1,1782503584.7413666,1,91.0,63.0,29544.375,32768.0,281.289,36.0
baseline_full_fp16_tp1,1782503585.7450402,1,90.0,75.0,29544.375,32768.0,183.574,35.0
baseline_full_fp16_tp1,1782503586.7470427,1,92.0,77.0,29544.375,32768.0,181.568,34.0
baseline_full_fp16_tp1,1782503587.7488694,1,92.0,77.0,29544.375,32768.0,170.757,34.0
baseline_full_fp16_tp1,1782503588.7509542,1,95.0,49.0,29544.375,32768.0,158.28,35.0
baseline_full_fp16_tp1,1782503589.7529666,1,91.0,75.0,29544.375,32768.0,174.987,34.0
