strategy_name,timestamp,gpu_index,util_compute_pct,util_memory_pct,mem_used_mib,mem_total_mib,power_w,temperature_c
baseline_full_fp16_tp1,1782771564.808829,1,0.0,0.0,29172.375,32768.0,53.708,26.0
baseline_full_fp16_tp1,1782771565.8119175,1,93.0,66.0,29210.375,32768.0,161.213,29.0
baseline_full_fp16_tp1,1782771566.8138766,1,85.0,26.0,29974.375,32768.0,277.736,33.0
baseline_full_fp16_tp1,1782771567.8215826,1,92.0,63.0,30148.375,32768.0,201.919,32.0
baseline_full_fp16_tp1,1782771568.8255649,1,89.0,69.0,30148.375,32768.0,285.421,33.0
baseline_full_fp16_tp1,1782771569.8292446,1,87.0,59.0,30148.375,32768.0,247.813,33.0
baseline_full_fp16_tp1,1782771570.8311768,1,87.0,66.0,30148.375,32768.0,219.495,33.0
baseline_full_fp16_tp1,1782771571.833621,1,87.0,68.0,30148.375,32768.0,212.738,32.0
baseline_full_fp16_tp1,1782771572.8357344,1,98.0,29.0,30148.375,32768.0,277.926,34.0
baseline_full_fp16_tp1,1782771573.8391387,1,89.0,69.0,30148.375,32768.0,220.905,32.0
baseline_full_fp16_tp1,1782771574.8410008,1,98.0,29.0,30304.375,32768.0,287.839,34.0
baseline_full_fp16_tp1,1782771575.8499982,1,92.0,64.0,30304.375,32768.0,227.64,33.0
baseline_full_fp16_tp1,1782771576.8516917,1,94.0,41.0,30304.375,32768.0,247.982,34.0
baseline_full_fp16_tp1,1782771577.8588774,1,89.0,61.0,30304.375,32768.0,260.592,33.0
baseline_full_fp16_tp1,1782771578.8604205,1,92.0,58.0,30304.375,32768.0,224.979,33.0
baseline_full_fp16_tp1,1782771579.8621705,1,87.0,58.0,30304.375,32768.0,293.92,33.0
baseline_full_fp16_tp1,1782771580.865036,1,89.0,57.0,30304.375,32768.0,281.757,33.0
baseline_full_fp16_tp1,1782771581.8672166,1,91.0,54.0,30304.375,32768.0,282.142,33.0
baseline_full_fp16_tp1,1782771582.8688295,1,93.0,37.0,30304.375,32768.0,290.376,33.0
baseline_full_fp16_tp1,1782771583.8709304,1,86.0,56.0,30304.375,32768.0,270.996,33.0
baseline_full_fp16_tp1,1782771584.873519,1,87.0,60.0,30304.375,32768.0,214.474,33.0
baseline_full_fp16_tp1,1782771585.876433,1,93.0,35.0,30304.375,32768.0,283.822,33.0
baseline_full_fp16_tp1,1782771586.8896399,1,100.0,29.0,30304.375,32768.0,237.33,33.0
baseline_full_fp16_tp1,1782771587.8969038,1,84.0,58.0,30304.375,32768.0,245.467,33.0
baseline_full_fp16_tp1,1782771588.8987172,1,89.0,61.0,30304.375,32768.0,233.747,32.0
baseline_full_fp16_tp1,1782771589.9002814,1,89.0,61.0,30304.375,32768.0,252.973,33.0
baseline_full_fp16_tp1,1782771590.9027817,1,98.0,36.0,30304.375,32768.0,278.014,33.0
baseline_full_fp16_tp1,1782771591.9150507,1,90.0,60.0,30304.375,32768.0,250.583,33.0
baseline_full_fp16_tp1,1782771592.9167728,1,87.0,61.0,30304.375,32768.0,252.8,33.0
baseline_full_fp16_tp1,1782771593.9205565,1,93.0,47.0,30304.375,32768.0,252.379,33.0
baseline_full_fp16_tp1,1782771594.9229903,1,91.0,59.0,30304.375,32768.0,217.938,32.0
baseline_full_fp16_tp1,1782771595.929621,1,92.0,55.0,30304.375,32768.0,259.832,33.0
baseline_full_fp16_tp1,1782771596.9378524,1,90.0,44.0,30304.375,32768.0,244.06,34.0
baseline_full_fp16_tp1,1782771597.9428017,1,95.0,55.0,30304.375,32768.0,215.59,34.0
