prompt_bucket,output_bucket,baseline_full_fp16_tp1
≤256,≤128,917.2782839334104
≤256,129-256,3240.7247162365784
≤256,257-512,2882.199898807442
≤256,>512,2960.2116397552873
257-512,≤128,921.080516168149
257-512,129-256,3860.8727125101723
257-512,257-512,2731.6148361511214
257-512,>512,2613.5387728310843
513-1024,≤128,952.0320412266301
513-1024,129-256,3224.8719799972605
513-1024,257-512,2583.195816996158
513-1024,>512,2718.2383699982893
1025-2048,≤128,92664.15657640027
1025-2048,129-256,87743.46690166858
1025-2048,257-512,86168.22396391937
1025-2048,>512,4073.9713303773906
>2048,≤128,91363.56492049526
>2048,129-256,89062.51944514224
>2048,257-512,91555.70418949646
