prompt_bucket,output_bucket,baseline_full_fp16_tp1
≤256,≤128,927.745854987006
≤256,129-256,2110.5794273171336
≤256,257-512,2255.88515700656
≤256,>512,2191.8598819713225
257-512,≤128,926.7868659953821
257-512,129-256,2397.678996509058
257-512,257-512,2257.4274970393158
257-512,>512,2255.311430504662
513-1024,≤128,924.8407608160051
513-1024,129-256,2389.3034850523686
513-1024,257-512,2197.9375460068686
513-1024,>512,2223.7537473905813
1025-2048,≤128,87620.56710410689
1025-2048,129-256,84805.35260849865
1025-2048,257-512,80351.8382145121
1025-2048,>512,4190.250806612313
>2048,≤128,85169.0611651924
>2048,129-256,86097.07628909673
>2048,257-512,87313.3142331033
