prompt_bucket,output_bucket,baseline_full_fp16_tp1
≤256,≤128,916.1562236346069
≤256,129-256,1960.0562644132838
≤256,257-512,2188.6452092410755
≤256,>512,2165.003348625032
257-512,≤128,929.7560940176481
257-512,129-256,2255.187422997551
257-512,257-512,2159.541113788145
257-512,>512,2146.5384569164594
513-1024,≤128,918.1481101346435
513-1024,129-256,2209.9952070246213
513-1024,257-512,2203.026620278251
513-1024,>512,2161.8666685099015
1025-2048,≤128,87457.89181498403
1025-2048,129-256,85516.27881257446
1025-2048,257-512,83190.8136179496
1025-2048,>512,3554.4035884551668
>2048,≤128,84781.25596778118
>2048,129-256,85777.44467373705
>2048,257-512,86828.11180191347
